state,district,rainfall_recharge_monsoon_ham,other_recharge_monsoon_ham,rainfall_recharge_nonmonsoon_ham,other_recharge_nonmonsoon_ham,annual_groundwater_recharge_ham,natural_discharges_ham,annual_extractable_groundwater_resource_ham,gw_extraction_irrigation_ham,gw_extraction_industrial_ham,gw_extraction_domestic_ham,current_annual_groundwater_extraction_ham,annual_gw_allocation_domestic_2035_ham,net_groundwater_availability_future_use_ham,stage_groundwater_extraction_pct,derived_stage_class,source_id,source_year,source_url,data_status
Uttar Pradesh,Shamli,23369.84,9061.93,1482.92,13771.63,47686.32,3754.33,43931.99,40977.06,128.72,3049.94,44155.72,3153.9,943.56,100.51,OVER_EXPLOITED,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Shrawasti,45052.07,5228.73,1187.29,8277.35,59745.44,5974.54,53770.9,28031.12,0.0,3382.84,31413.96,3632.46,22107.32,58.42,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Siddharth Nagar,68101.68,10517.12,1324.31,15928.31,95871.42,8252.43,87618.99,48318.75,1.11,7657.94,55977.81,8561.35,30737.77,63.89,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Sitapur,97390.95,41810.4,2012.06,67646.83,208860.24,17369.86,191490.38,98957.81,561.54,11680.47,111199.82,12814.97,79156.08,58.07,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Sonbhadra,15188.28,33775.37,129.25,10917.13,60010.03,5781.54,54228.49,21820.04,385.81,4485.02,26690.85,6109.92,25912.75,49.22,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Sultanpur,49432.46,18867.61,174.63,26722.6,95197.3,9120.08,86077.22,47226.55,0.07,6364.57,53591.19,7899.33,30951.27,62.26,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Unnao,67342.49,45533.38,966.14,63213.54,177055.55,16108.72,160946.83,89165.44,722.96,8939.07,98827.48,11867.98,59190.43,61.4,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttar Pradesh,Varanasi,29319.04,9404.51,123.08,13972.25,52818.88,5281.91,47536.97,31392.4,253.73,10780.27,42426.39,11285.71,7750.36,89.25,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttarakhand,Dehradun,50923.02,1125.38,2995.42,1633.21,56677.03,5667.71,51009.32,11711.99,712.070187,8006.93981,20431.0,9417.87,29167.39,40.05,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttarakhand,Haridwar,28361.28,6472.45,3577.67,8931.71,47343.11,3920.26,43422.85,22359.84,3592.12845,2549.6,28501.5684,8477.56,12705.54,65.64,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
