state_code,state,district_code,district,state_census2011_code,district_census2011_code,source_id,source_year,source_url
6,Haryana,62,Gurugram,06,086,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,661,Hapur,09,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,163,Hathras,09,144,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,540,Haveri,29,564,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,63,Hisar,06,080,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
15,Mizoram,726,Hnahthial,15,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,507,Hyderabad,00,536,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,151,Jalaun,09,165,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,479,Jalna,27,514,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,447,Jamnagar,24,477,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,380,Jashpur,22,402,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,412,Jhabua,23,464,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,65,Jind,06,077,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
14,Manipur,713,Jiribam,14,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,107,Jodhpur,08,113,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,778,Jodhpur (Gramin),08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,290,Jorhat,18,312,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,449,Kachchh,24,468,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,746,Kakinada,28,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,358,Kalahandi,21,395,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,729,Kallakurichi,33,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
